[08/29 18:49:31] psnet5 INFO: Full config saved to log/psnet5/respointnet2_dp_fi_df_fc1_max_20260829184931/config.json
[08/29 18:49:33] psnet5 INFO: length of training dataset: 2000
[08/29 18:49:33] psnet5 INFO: length of validation dataset: 2000
[08/29 19:10:42] psnet5 INFO: Train: [2/3][260/1000]	T 1.060 (1.017)	DT 0.000 (0.001)	loss 1.125 (1.061)
[08/29 19:10:52] psnet5 INFO: Train: [2/3][270/1000]	T 1.030 (1.017)	DT 0.000 (0.001)	loss 0.840 (1.062)
[08/29 19:11:02] psnet5 INFO: Train: [2/3][280/1000]	T 0.964 (1.017)	DT 0.000 (0.001)	loss 1.860 (1.071)
[08/29 19:11:13] psnet5 INFO: Train: [2/3][290/1000]	T 0.982 (1.020)	DT 0.000 (0.001)	loss 0.965 (1.071)
[08/29 19:11:23] psnet5 INFO: Train: [2/3][300/1000]	T 0.895 (1.018)	DT 0.000 (0.001)	loss 1.696 (1.078)
[08/29 19:11:33] psnet5 INFO: Train: [2/3][310/1000]	T 0.953 (1.017)	DT 0.000 (0.001)	loss 2.487 (1.082)
[08/29 19:11:42] psnet5 INFO: Train: [2/3][320/1000]	T 0.994 (1.015)	DT 0.000 (0.001)	loss 0.800 (1.075)
[08/29 19:11:53] psnet5 INFO: Train: [2/3][330/1000]	T 1.142 (1.016)	DT 0.000 (0.001)	loss 1.707 (1.076)
[08/29 19:12:03] psnet5 INFO: Train: [2/3][340/1000]	T 0.947 (1.016)	DT 0.000 (0.001)	loss 0.939 (1.076)
[08/29 19:12:12] psnet5 INFO: Train: [2/3][350/1000]	T 0.858 (1.014)	DT 0.000 (0.001)	loss 1.205 (1.075)
[08/29 19:12:22] psnet5 INFO: Train: [2/3][360/1000]	T 0.942 (1.013)	DT 0.000 (0.001)	loss 0.816 (1.076)
[08/29 19:12:31] psnet5 INFO: Train: [2/3][370/1000]	T 0.991 (1.010)	DT 0.000 (0.001)	loss 1.419 (1.087)
[08/29 19:12:41] psnet5 INFO: Train: [2/3][380/1000]	T 0.941 (1.010)	DT 0.000 (0.001)	loss 1.418 (1.086)
[08/29 19:12:52] psnet5 INFO: Train: [2/3][390/1000]	T 0.967 (1.011)	DT 0.000 (0.001)	loss 0.506 (1.085)
[08/29 19:13:02] psnet5 INFO: Train: [2/3][400/1000]	T 0.836 (1.010)	DT 0.000 (0.001)	loss 0.603 (1.086)
[08/29 19:13:11] psnet5 INFO: Train: [2/3][410/1000]	T 0.977 (1.009)	DT 0.000 (0.001)	loss 1.338 (1.085)
[08/29 19:13:21] psnet5 INFO: Train: [2/3][420/1000]	T 1.096 (1.008)	DT 0.000 (0.001)	loss 0.908 (1.085)
[08/29 19:13:31] psnet5 INFO: Train: [2/3][430/1000]	T 1.001 (1.008)	DT 0.000 (0.001)	loss 1.035 (1.091)
[08/29 19:13:42] psnet5 INFO: Train: [2/3][440/1000]	T 1.132 (1.009)	DT 0.000 (0.001)	loss 0.861 (1.092)
[08/29 19:13:52] psnet5 INFO: Train: [2/3][450/1000]	T 1.164 (1.010)	DT 0.000 (0.001)	loss 1.551 (1.097)
[08/29 19:14:03] psnet5 INFO: Train: [2/3][460/1000]	T 1.021 (1.011)	DT 0.000 (0.001)	loss 0.803 (1.098)
[08/29 19:14:13] psnet5 INFO: Train: [2/3][470/1000]	T 1.077 (1.011)	DT 0.000 (0.001)	loss 0.700 (1.092)
[08/29 19:14:23] psnet5 INFO: Train: [2/3][480/1000]	T 0.900 (1.011)	DT 0.000 (0.001)	loss 1.643 (1.094)
[08/29 19:14:33] psnet5 INFO: Train: [2/3][490/1000]	T 0.994 (1.011)	DT 0.000 (0.000)	loss 1.888 (1.094)
[08/29 19:14:43] psnet5 INFO: Train: [2/3][500/1000]	T 0.945 (1.011)	DT 0.000 (0.000)	loss 1.351 (1.093)
[08/29 19:14:53] psnet5 INFO: Train: [2/3][510/1000]	T 1.217 (1.012)	DT 0.000 (0.000)	loss 0.732 (1.091)
[08/29 19:15:03] psnet5 INFO: Train: [2/3][520/1000]	T 1.133 (1.011)	DT 0.000 (0.000)	loss 0.827 (1.093)
[08/29 19:15:14] psnet5 INFO: Train: [2/3][530/1000]	T 1.006 (1.011)	DT 0.000 (0.000)	loss 0.650 (1.096)
[08/29 19:15:23] psnet5 INFO: Train: [2/3][540/1000]	T 0.968 (1.011)	DT 0.000 (0.000)	loss 1.109 (1.096)
[08/29 19:15:33] psnet5 INFO: Train: [2/3][550/1000]	T 1.022 (1.010)	DT 0.000 (0.000)	loss 1.251 (1.095)
[08/29 19:15:44] psnet5 INFO: Train: [2/3][560/1000]	T 0.925 (1.011)	DT 0.000 (0.000)	loss 0.889 (1.092)
[08/29 19:15:53] psnet5 INFO: Train: [2/3][570/1000]	T 0.863 (1.010)	DT 0.000 (0.000)	loss 0.953 (1.094)
[08/29 19:16:03] psnet5 INFO: Train: [2/3][580/1000]	T 0.909 (1.009)	DT 0.000 (0.000)	loss 1.487 (1.096)
[08/29 19:16:13] psnet5 INFO: Train: [2/3][590/1000]	T 0.945 (1.009)	DT 0.000 (0.000)	loss 0.406 (1.096)
[08/29 19:16:23] psnet5 INFO: Train: [2/3][600/1000]	T 1.151 (1.010)	DT 0.000 (0.000)	loss 1.190 (1.091)
[08/29 19:16:33] psnet5 INFO: Train: [2/3][610/1000]	T 0.916 (1.009)	DT 0.000 (0.000)	loss 1.450 (1.091)
[08/29 19:16:43] psnet5 INFO: Train: [2/3][620/1000]	T 1.026 (1.010)	DT 0.000 (0.000)	loss 1.506 (1.095)
[08/29 19:16:54] psnet5 INFO: Train: [2/3][630/1000]	T 0.963 (1.010)	DT 0.000 (0.000)	loss 1.652 (1.090)
[08/29 19:17:04] psnet5 INFO: Train: [2/3][640/1000]	T 1.138 (1.011)	DT 0.000 (0.000)	loss 0.921 (1.089)
[08/29 19:17:15] psnet5 INFO: Train: [2/3][650/1000]	T 1.130 (1.011)	DT 0.000 (0.000)	loss 0.889 (1.091)
[08/29 19:17:25] psnet5 INFO: Train: [2/3][660/1000]	T 1.155 (1.012)	DT 0.000 (0.000)	loss 2.416 (1.096)
[08/29 19:17:36] psnet5 INFO: Train: [2/3][670/1000]	T 1.114 (1.012)	DT 0.000 (0.000)	loss 0.632 (1.092)
[08/29 19:17:47] psnet5 INFO: Train: [2/3][680/1000]	T 1.158 (1.015)	DT 0.000 (0.000)	loss 0.821 (1.091)
[08/29 19:17:59] psnet5 INFO: Train: [2/3][690/1000]	T 1.111 (1.016)	DT 0.000 (0.000)	loss 1.055 (1.091)
[08/29 19:18:09] psnet5 INFO: Train: [2/3][700/1000]	T 1.109 (1.017)	DT 0.000 (0.000)	loss 1.710 (1.094)
[08/29 19:18:20] psnet5 INFO: Train: [2/3][710/1000]	T 1.031 (1.017)	DT 0.000 (0.000)	loss 1.160 (1.095)
[08/29 19:18:31] psnet5 INFO: Train: [2/3][720/1000]	T 1.031 (1.018)	DT 0.000 (0.000)	loss 1.368 (1.093)
[08/29 19:18:41] psnet5 INFO: Train: [2/3][730/1000]	T 1.041 (1.019)	DT 0.000 (0.000)	loss 0.666 (1.091)
[08/29 19:18:52] psnet5 INFO: Train: [2/3][740/1000]	T 1.268 (1.019)	DT 0.000 (0.000)	loss 2.618 (1.090)
[08/29 19:19:02] psnet5 INFO: Train: [2/3][750/1000]	T 0.993 (1.019)	DT 0.000 (0.000)	loss 0.441 (1.089)
[08/29 19:19:13] psnet5 INFO: Train: [2/3][760/1000]	T 1.254 (1.020)	DT 0.000 (0.000)	loss 1.405 (1.089)
[08/29 19:19:23] psnet5 INFO: Train: [2/3][770/1000]	T 1.202 (1.020)	DT 0.000 (0.000)	loss 0.664 (1.089)
[08/29 19:19:34] psnet5 INFO: Train: [2/3][780/1000]	T 1.151 (1.021)	DT 0.000 (0.000)	loss 0.673 (1.089)
[08/29 19:19:44] psnet5 INFO: Train: [2/3][790/1000]	T 0.980 (1.021)	DT 0.000 (0.000)	loss 2.299 (1.091)
